"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","AL015","Shkodër",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ALG1310","Durres",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ALG1312","Fier",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ALG1323","Lezhe",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ALG1338","Tirane",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","AT112","Nordburgenland",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","AT124","Waldviertel",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","AT125","Weinviertel",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","AT126","Wiener Umland/Nordteil",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","AT127","Wiener Umland/Sudteil",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","AT130","Wien",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","BAG1653","Republika Srpska",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","BG311","Vidin",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","BG325","Silistra",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","BG333","Shumen",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","BG341","Burgas",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","BG343","Yambol",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","BG411","Sofia (stolitsa)",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","BG412","Sofia",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","BG421","Plovdiv",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","CY000","Kypros/Kibris",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","CZ064","Jihomoravsky kraj",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","CZ080","Moravskoslezsky kraj",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL301","Voreios Tomeas Athinon",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL302","Dytikos Tomeas Athinon",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL303","Kentrikos Tomeas Athinon",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL304","Notios Tomeas Athinon",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL305","Anatoliki Attiki",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL306","Dytiki Attiki",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL307","Peiraias, Nisoi",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL412","Samos",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL422","Kyklades",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL433","Rethymni",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL511","Evros",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL512","Xanthi",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL513","Rodopi",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL514","Drama",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL515","Thasos, Kavala",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL521","Imathia",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL522","Thessaloniki",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL523","Kilkis",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL524","Pella",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL525","Pieria",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL526","Serres",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL527","Chalkidiki",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL531","Grevena, Kozani",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL541","Arta, Preveza",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL611","Karditsa, Trikala",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL612","Larisa",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL613","Magnisia, Sporades",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL622","Kerkyra",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL624","Lefkada",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL631","Aitoloakarnania",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL632","Achaia",3.000000000,"Cases reported during 2011–2017"
