"","Anopheles_apoci","Anopheles_superpictus","Anopheles_turkhudi","Ochlerotatus_cyprius","Aedes_echinus","Anopheles_ainshamsi","Ochlerotatus_eatoni_hewitti_(nomen_nudum)","Acartomyia_mariae","Orthopodomyia_pulcripalpis","Uranotaenia_unguiculata","Aedes_aegypti","Aedes_albopictus","Aedes_vittatus","Aedes_vexans","Ochlerotatus_nigrinus","Ochlerotatus_sticticus","Ochlerotatus_refiki","Ochlerotatus_rusticus","Aedes_cretinus","Culex_antennatus","Culiseta_longiareolata","Culex_simpsoni","Culex_univittatus","Culex_perexiguus","Culex_sitiens","Culex_sinaiticus","Culex_pseudovishnui","Culex_duttoni","Culex_thalassius","Culex_tritaeniorhynchus","Culex_mimeticus","Culex_modestus","Culex_theileri","Culex_laticinctus","Culex_vagans","Culex_torrentium","Culex_quinquefasciatus","Culex_pipiens","Culiseta_ochroptera","Culiseta_litorea","Culiseta_fumipennis","Culiseta_morsitans","Aedes_cinereus","Aedes_rossicus","Culiseta_annulata","Culiseta_subochrea","Culiseta_alaskaensis","Culiseta_glaphyroptera","Culiseta_bergrothi","Aedes_japonicus","Ochlerotatus_nigripes","Ochlerotatus_cataphylla","Ochlerotatus_leucomelas","Ochlerotatus_pionips","Ochlerotatus_communis","Ochlerotatus_punctor","Ochlerotatus_hexodontus","Ochlerotatus_berlandi","Aedes_koreicus","Aedes_geniculatus","Ochlerotatus_flavescens","Ochlerotatus_riparius","Ochlerotatus_euedes","Ochlerotatus_annulipes","Ochlerotatus_cantans","Ochlerotatus_excrucians","Ochlerotatus_detritus","Ochlerotatus_pulcritarsis","Ochlerotatus_hungaricus","Ochlerotatus_pullatus","Ochlerotatus_intrudens","Ochlerotatus_diantaeus","Acartomyia_phoeniciae","Ochlerotatus_caspius","Ochlerotatus_dorsalis","Acartomyia_zammitii","Coquillettidia_buxtoni","Coquillettidia_richiardii","Anopheles_pharoensis","Anopheles_arabiensis","Anopheles_coluzzii","Anopheles_fluviatilis","Anopheles_culicifacies","Anopheles_dthali","Anopheles_sacharovi","Anopheles_messeae","Anopheles_melanoon","Anopheles_labranchiae","Anopheles_atroparvus","Anopheles_maculipennis","Anopheles_maculipennis","Anopheles_pulcherrimus","Anopheles_stephensi","Anopheles_cinereus","Anopheles_claviger","Anopheles_hyrcanus","Anopheles_coustani","Anopheles_ziemanni","Anopheles_tenebrosus","Anopheles_plumbeus","Uranotaenia_balfouri","Anopheles_algeriensis","Culex_impudicus","Culex_martinii","Culex_europaeus","Culex_territans","Culex_hortensis","Culex_deserticola"
"Anopheles_apoci",0,0.338250019630582,0.427390382086086,0.478547420417022,0.483221003342224,0.810705751955922,0.789568060092977,0.789944705805823,0.733016666137831,0.725651464760582,0.726483157256779,0.721199573264329,0.701391410379798,0.706537222671908,0.706537222671908,0.711080917233378,0.712195980025644,0.713341911547139,0.748945619007071,0.742243845327077,0.709947719832475,0.721788764791349,0.715175090335273,0.720292721001668,0.734182804377699,0.718124278477509,0.711080917233378,0.718473175354309,0.707106781186548,0.715568671249991,0.71221231161192,0.725651464760582,0.721199573264329,0.709116562921955,0.712841723298777,0.71672002947045,0.716689374632466,0.711728443332975,0.712195980025644,0.709947719832475,0.71221231161192,0.709036134789447,0.726760176583246,0.725608866188281,0.720257822628828,0.721199573264329,0.731357450861227,0.727801500463585,0.72454105635985,0.723586370637506,0.705796109473655,0.71672002947045,0.717447816325884,0.718963290134056,0.709618713719706,0.720082299823096,0.722315118514615,0.720082299823096,0.717024611701238,0.730149253337033,0.719001281845615,0.713361969037559,0.715623026907143,0.720082299823096,0.719001281845615,0.721244661031356,0.716750881077268,0.713361969037559,0.700498161609725,0.72459670694955,0.70938410360792,0.709391461715386,0.71089826563723,0.729018882792847,0.700528900717694,0.709636688306545,0.716201775911489,0.724066188038217,0.723936998930182,0.704025691230827,0.709391461715386,0.733922125421131,0.708350593548337,0.722416446300554,0.733887323794904,0.718457535121919,0.719582762961154,0.721827956444956,0.719582762961154,0.716201775911489,0.716201775911489,0.733143914930759,0.715619121211555,0.724012118950434,0.726297522104328,0.732209352665299,0.719513109709787,0.71522394609858,0.713414727544016,0.729631728714511,0.713053957247238,0.713938889446483,0.729631728714511,0.720662777385982,0.719582762961154,0.715175090335273,0.725182713278206,0.71221231161192
"Anopheles_superpictus",0.338250019630582,0,0.425071003781076,0.468471609443904,0.5,0.804528628411059,0.791823292776947,0.801148145989557,0.729010942059435,0.731254703255935,0.735980072193987,0.72459670694955,0.707106781186548,0.714493392379833,0.711093721740353,0.714493392379833,0.715595762065421,0.712228748355362,0.751145913578872,0.746044225326614,0.719001281845615,0.719947642075341,0.718642726548493,0.71970400596992,0.736599671073637,0.725536105417247,0.714493392379833,0.731981397812573,0.721656252083136,0.718963290134056,0.720123845030101,0.730149253337033,0.725710614919908,0.722998805481221,0.722461915613685,0.725710614919908,0.721199573264329,0.716350399411379,0.722315118514615,0.725710614919908,0.72459670694955,0.716736459053637,0.722363737982143,0.722424951271049,0.717272897061225,0.716750881077268,0.733677764856624,0.72454105635985,0.719001281845615,0.723586370637506,0.701829791161705,0.713361969037559,0.713197391351891,0.713361969037559,0.70962766897256,0.720123845030101,0.723481083952327,0.715623026907143,0.716014005685663,0.72459670694955,0.715623026907143,0.709956880530957,0.714493392379833,0.71672002947045,0.714493392379833,0.71787696328155,0.712228748355362,0.713361969037559,0.704652961937111,0.72459670694955,0.710520027639911,0.70767771933462,0.710871351435557,0.728819476344662,0.705805755648027,0.713370028213286,0.720123845030101,0.725710614919908,0.732997199747363,0.717412352550749,0.721244661031356,0.743104418190409,0.718146409678601,0.717669957030445,0.733712023435171,0.721244661031356,0.72459670694955,0.725710614919908,0.721244661031356,0.716750881077268,0.716750881077268,0.732932522572595,0.725102196849719,0.728972541446915,0.72459670694955,0.725643777245396,0.723963263582859,0.721305890000112,0.719578761711357,0.733460604807459,0.715994102493918,0.715623026907143,0.733460604807459,0.732278556328103,0.729042127221279,0.728202054656461,0.730149253337033,0.718850757447785
"Anopheles_turkhudi",0.427390382086086,0.425071003781076,0,0.463649877831378,0.577350269189626,0.793115538912532,0.792883657994038,0.80292872271582,0.729615178335615,0.730371198837518,0.7347056468704,0.716844635641249,0.714616090347558,0.716844635641249,0.71570588252251,0.714565314654311,0.714565314654311,0.717981582645366,0.735849613968697,0.735257266716801,0.72251147983903,0.730216942570346,0.721616023179079,0.718160539524889,0.725920646016991,0.734146993202672,0.72251147983903,0.725728692123142,0.716310293574805,0.728134222070858,0.716844635641249,0.725890351644182,0.732601345092932,0.726593657395414,0.723258121441455,0.725890351644182,0.730371198837518,0.728477819610871,0.72251147983903,0.727013152549817,0.727013152549817,0.711666706348003,0.727013152549817,0.722480464772593,0.731466154406843,0.728134222070858,0.733799385705343,0.735933893052157,0.732601345092932,0.721521365397364,0.707106781186548,0.720250092508543,0.719236427096323,0.717981582645366,0.706469460839674,0.71911673210144,0.720250092508543,0.723639523429652,0.697104767004053,0.731487121870005,0.720250092508543,0.711132635164555,0.72251147983903,0.71970400596992,0.71911673210144,0.720250092508543,0.721381672298981,0.721381672298981,0.690621839609509,0.71911673210144,0.712295567478896,0.713422923332791,0.712756192799706,0.724128406400354,0.699799704321332,0.711504644524571,0.716844635641249,0.729253568192192,0.725129381216117,0.707106781186548,0.713422923332791,0.735385980824044,0.71689419179539,0.720599043556498,0.734235314803204,0.717981582645366,0.720250092508543,0.716844635641249,0.717981582645366,0.716844635641249,0.716844635641249,0.718699468220086,0.717342149788216,0.732601345092932,0.727013152549817,0.722524576288632,0.709434072551286,0.720082299823096,0.717740562565273,0.73814723306636,0.722570995499691,0.721381672298981,0.717981582645366,0.713422923332791,0.717981582645366,0.715818897637437,0.727013152549817,0.699471331219579
"Ochlerotatus_cyprius",0.478547420417022,0.468471609443904,0.463649877831378,0,0.523235335330412,0.807856162288417,0.786199870402223,0.782359105513898,0.726483157256779,0.724330609837207,0.726843784311631,0.714736403321352,0.707812124784548,0.702208407057905,0.710584946694924,0.710584946694924,0.703611422257038,0.705011645377822,0.721412480694957,0.724379234051663,0.709195727484068,0.720285971811279,0.714736403321352,0.713355268884285,0.7184212081071,0.711990655183976,0.707803781632936,0.720576692122892,0.710514544449581,0.717490696391447,0.711971455226401,0.720234456676315,0.717490696391447,0.720994441993987,0.70640909302338,0.717490696391447,0.710584946694924,0.710584946694924,0.70640909302338,0.722967804095984,0.716114874039433,0.71149424902106,0.717490696391447,0.718331399842719,0.711990655183976,0.709195727484068,0.714877418692818,0.716114874039433,0.716114874039433,0.711971455226401,0.712974987873581,0.714736403321352,0.713379906563893,0.705011645377822,0.702006511140586,0.702208407057905,0.70640909302338,0.702208407057905,0.703123049310652,0.717490696391447,0.710584946694924,0.703611422257038,0.714736403321352,0.713355268884285,0.716114874039433,0.716114874039433,0.707803781632936,0.70640909302338,0.694147098030814,0.710584946694924,0.712674637081972,0.710584946694924,0.70998706513081,0.710981367895464,0.704916460649661,0.711422834170785,0.705011645377822,0.70640909302338,0.711743596647291,0.711990655183976,0.709195727484068,0.72256449367085,0.714059817469728,0.724398008864964,0.72848683536968,0.714736403321352,0.717490696391447,0.716114874039433,0.717490696391447,0.713355268884285,0.713355268884285,0.713017030211553,0.716150324393359,0.711971455226401,0.725690856312046,0.716753977133203,0.710228680610029,0.717531522059146,0.716150324393359,0.716114874039433,0.697982440452113,0.713355268884285,0.713355268884285,0.70640909302338,0.70640909302338,0.70640909302338,0.716114874039433,0.703562363973514
"Aedes_echinus",0.483221003342224,0.5,0.577350269189626,0.523235335330412,0,0.790132515635949,0.780547563390376,0.793010705716791,0.723211746553043,0.719750815986618,0.725476250110012,0.725102196849719,0.711960007543681,0.71616101397531,0.719750815986618,0.72687723548335,0.714359348192851,0.714359348192851,0.740093705869288,0.759296129481046,0.703452458112659,0.714122895565959,0.717958158617738,0.711805216802087,0.752644662798658,0.708064272188716,0.707106781186548,0.745736179207896,0.729739902433225,0.708926878872306,0.71616101397531,0.72864795000847,0.708926878872306,0.71263833965158,0.713539334025143,0.723322802273411,0.721539019527725,0.721539019527725,0.71616101397531,0.733934461525301,0.72687723548335,0.724256724937761,0.730414371873374,0.72867925133589,0.713107794988056,0.712553126975727,0.721539019527725,0.710742315593533,0.712553126975727,0.735023632449828,0.724256724937761,0.725102196849719,0.734367341971257,0.719750815986618,0.71616101397531,0.71616101397531,0.714359348192851,0.721539019527725,0.728868986855663,0.71616101397531,0.721539019527725,0.717958158617738,0.717958158617738,0.720680126659006,0.723322802273411,0.723322802273411,0.714359348192851,0.719750815986618,0.718667876340328,0.723322802273411,0.717085689652854,0.71616101397531,0.711379368593584,0.738862888056329,0.710838241297558,0.715626447332134,0.71616101397531,0.71616101397531,0.699702317656111,0.715007660837407,0.719750815986618,0.75981549578096,0.721568539381252,0.720360270225197,0.736522744675721,0.72687723548335,0.725102196849719,0.72687723548335,0.72687723548335,0.723322802273411,0.723322802273411,0.733588856541433,0.716649814429432,0.719750815986618,0.723322802273411,0.745736179207896,0.717074322226235,0.713040648415036,0.712125345092075,0.725102196849719,0.708926878872306,0.710742315593533,0.733934461525301,0.730414371873374,0.735688190337497,0.729588748269919,0.71616101397531,0.733799385705343
"Anopheles_ainshamsi",0.810705751955922,0.804528628411059,0.793115538912532,0.807856162288417,0.790132515635949,0,0.800042443695815,0.815104428881946,0.739491975346158,0.745856903841751,0.762770071396474,0.764770520862194,0.756440457712953,0.753702346348183,0.751469149302179,0.754816467202236,0.748106854363879,0.749229295886864,0.734182804377699,0.728500192664718,0.745856903841751,0.732962511014848,0.737928055521709,0.735741357883211,0.734208757779421,0.740642936315563,0.733358797622569,0.735214622093808,0.736788397613007,0.734503776926523,0.742469194109547,0.734503776926523,0.737928055521709,0.746787993805677,0.737928055521709,0.742469194109547,0.742469194109547,0.742469194109547,0.742469194109547,0.742469194109547,0.746982726224182,0.741180295820441,0.743600145555787,0.745906883922142,0.750073482584804,0.751469149302179,0.74535599249993,0.746982726224182,0.75703979003582,0.743600145555787,0.74747048183331,0.749229295886864,0.74561656093736,0.745856903841751,0.742232504616371,0.749229295886864,0.750350058362118,0.745856903841751,0.732756315688796,0.754816467202236,0.754816467202236,0.752586576163732,0.750350058362118,0.751469149302179,0.748106854363879,0.745856903841751,0.742469194109547,0.748106854363879,0.73282810879294,0.735646974158282,0.740824911042784,0.743600145555787,0.741006686265994,0.731865107534534,0.74535599249993,0.741006686265994,0.745856903841751,0.745856903841751,0.741088792537842,0.739843511191814,0.742469194109547,0.7420359047584,0.738875088062737,0.737711113563318,0.753493863090646,0.751469149302179,0.744729379532925,0.745856903841751,0.745856903841751,0.744729379532925,0.744729379532925,0.75572830130463,0.741853908948536,0.750350058362118,0.746982726224182,0.738548945875996,0.735295410470745,0.731357450861227,0.734083675527736,0.749229295886864,0.74740931868366,0.754816467202236,0.743600145555787,0.750350058362118,0.749229295886864,0.744729379532925,0.741336517333912,0.73766709607388
"Ochlerotatus_eatoni_hewitti_(nomen_nudum)",0.789568060092977,0.791823292776947,0.792883657994038,0.786199870402223,0.780547563390376,0.800042443695815,0,0.56668047483867,0.694489101815279,0.682445666135711,0.716662711585353,0.686995354294649,0.669225857138865,0.676715542331965,0.681303496856328,0.685860761688315,0.675441483887895,0.67093648226928,0.689986959699826,0.707106781186548,0.675563685254685,0.682309474129881,0.675763528720828,0.673127149194349,0.713017030211553,0.675173124460371,0.677865442128745,0.69566152267352,0.683842758666329,0.677711881832734,0.674409860868105,0.669774686623137,0.674409860868105,0.672497027690273,0.675891178667331,0.677865442128745,0.674303418237213,0.674617194513397,0.677711881832734,0.682445666135711,0.675563685254685,0.669980211301445,0.681303496856328,0.684412925529303,0.692293518019063,0.688128076175637,0.710357863988902,0.679013394588908,0.673254059057488,0.684045775404103,0.689457839665383,0.686995354294649,0.686278690567975,0.685860761688315,0.680897188558947,0.680159409572423,0.683585927024663,0.682445666135711,0.676009798236555,0.681303496856328,0.692640439778244,0.68925893655428,0.691515109319706,0.696548208795548,0.68925893655428,0.683585927024663,0.683585927024663,0.691515109319706,0.669759419885353,0.674409860868105,0.683511155724616,0.688128076175637,0.682962061377168,0.69566152267352,0.679960851865791,0.682962061377168,0.682445666135711,0.684724289057225,0.686471443449481,0.673975465764577,0.666277144771498,0.702201935061195,0.677365137434578,0.661968463894626,0.67854257958523,0.677865442128745,0.673254059057488,0.674409860868105,0.672096269621123,0.673254059057488,0.673254059057488,0.689927532426414,0.68160098382647,0.680497555526045,0.681303496856328,0.684024786288392,0.667707520800338,0.665111179695494,0.664665947614144,0.688128076175637,0.673332166013017,0.669774686623137,0.683585927024663,0.684477892001646,0.684724289057225,0.688606131076299,0.669774686623137,0.676027791337482
"Acartomyia_mariae",0.789944705805823,0.801148145989557,0.80292872271582,0.782359105513898,0.793010705716791,0.815104428881946,0.56668047483867,0,0.729278502191009,0.71578326259584,0.709507829797683,0.722222222222222,0.720873164750998,0.7147044627927,0.713624032148063,0.716860438920219,0.720275636462322,0.71254196324337,0.714718483616109,0.72910247149722,0.716860438920219,0.708887161968223,0.714822905924157,0.720283817275848,0.726962037592217,0.708224737269896,0.716860438920219,0.70941382412257,0.711512473537885,0.721446868603997,0.716860438920219,0.723289809238419,0.710372880696912,0.720360270225197,0.720243014544397,0.722222222222222,0.718184846459608,0.712626824218406,0.709760099256249,0.721153054763732,0.721153054763732,0.727046207042608,0.717935999073338,0.713885301829451,0.716908158037524,0.722222222222222,0.723170747457416,0.727058771923787,0.720082299823096,0.714241139683388,0.716996866828756,0.708197154665665,0.708863570928183,0.721153054763732,0.719559933196623,0.713624032148063,0.717935999073338,0.721153054763732,0.721184607854257,0.71578326259584,0.719009950308044,0.723289809238419,0.71254196324337,0.727606875108999,0.725420269844477,0.725420269844477,0.721153054763732,0.721153054763732,0.710187871078544,0.709285851933539,0.709239838162137,0.713624032148063,0.713723832726433,0.71705036088379,0.719992216342437,0.719686541453095,0.713624032148063,0.724355822800294,0.718667876340328,0.715876526595973,0.720082299823096,0.718617685946984,0.720039148823816,0.715568671249991,0.728834686331544,0.730719246553661,0.730719246553661,0.729662529809094,0.728604280478,0.731774437351083,0.731774437351083,0.725690856312046,0.720378813033036,0.723596631581381,0.71578326259584,0.721593492041046,0.712233464024618,0.711884584056256,0.710729896867558,0.725420269844477,0.716143656213197,0.727544491872711,0.728604280478,0.724439114125672,0.71578326259584,0.718631981533406,0.716860438920219,0.71267150721837
"Orthopodomyia_pulcripalpis",0.733016666137831,0.729010942059435,0.729615178335615,0.726483157256779,0.723211746553043,0.739491975346158,0.694489101815279,0.729278502191009,0,0.377668146446223,0.375419228750255,0.387904910301142,0.376050716545177,0.347404166889826,0.373494889659659,0.373494889659659,0.381795789759879,0.369274472937998,0.398233986959983,0.388298922500536,0.362851818248537,0.370698285055443,0.374634324632678,0.349652761023756,0.386694595618265,0.389920014304035,0.365005260407836,0.399556294927216,0.397223973654539,0.360685519375463,0.347404166889826,0.371390676354104,0.373494889659659,0.395428421289664,0.365866461590203,0.36714607208101,0.371390676354104,0.37249963873975,0.371390676354104,0.381795789759879,0.383842966846459,0.393957893523519,0.379737576438318,0.403273800023591,0.373039644075238,0.36714607208101,0.4004451865596,0.365005260407836,0.369274472937998,0.385051924066261,0.397478588111588,0.385879283347285,0.39811648047543,0.375587314377101,0.366718909548839,0.389920014304035,0.399843229466838,0.389920014304035,0.390680917050434,0.385879283347285,0.401798464742702,0.399843229466838,0.391924757669098,0.413335692850649,0.403744231399923,0.403744231399923,0.377668146446223,0.379737576438318,0.419933430464288,0.371390676354104,0.373787941795493,0.379737576438318,0.357997051246959,0.38543320863005,0.362738125055006,0.364994398072006,0.356313412109203,0.397878385981631,0.387065232983844,0.379818766100317,0.375587314377101,0.394844278740801,0.37482778414706,0.358284342896115,0.393159169411211,0.389920014304035,0.397878385981631,0.395903791232448,0.383842966846459,0.387904910301142,0.387904910301142,0.376493788548409,0.384353057392904,0.383842966846459,0.397878385981631,0.382546027838003,0.404888165089458,0.38976899112689,0.383029549448109,0.399843229466838,0.368267450411626,0.383842966846459,0.393919298579168,0.395903791232448,0.395903791232448,0.392387887132432,0.351886986702632,0.38873012632302
"Uranotaenia_unguiculata",0.725651464760582,0.731254703255935,0.730371198837518,0.724330609837207,0.719750815986618,0.745856903841751,0.682445666135711,0.71578326259584,0.377668146446223,0,0.379862214511292,0.397560952869117,0.399579611024159,0.391784941938155,0.395644985318018,0.395644985318018,0.39371969415866,0.381964208447538,0.38658834624255,0.385006608379097,0.369835254541153,0.356753034006338,0.3624576935287,0.340997169735237,0.377082407692459,0.356034497458156,0.369835254541153,0.376288347353439,0.370154447397874,0.377964473009227,0.348684021877203,0.38592249249398,0.377964473009227,0.388557472472033,0.359486813709167,0.371884218998905,0.375948648113326,0.3770871848483,0.379969603647514,0.389840587792725,0.387886487328022,0.376670070327259,0.383948451453916,0.396443602829614,0.370564778750496,0.371884218998905,0.385861230093007,0.381964208447538,0.377964473009227,0.377964473009227,0.393082547169025,0.375948648113326,0.393669315770794,0.408868257852863,0.385462019245045,0.401365450585887,0.40700552261699,0.387886487328022,0.380442955126341,0.403254239609354,0.401365450585887,0.39371969415866,0.389840587792725,0.409179302597623,0.397560952869117,0.401365450585887,0.403254239609354,0.39371969415866,0.39075333913226,0.389840587792725,0.390434404721515,0.38592249249398,0.387080934471914,0.404619344766525,0.392062876068392,0.382706998191366,0.405134222945709,0.401365450585887,0.404924639857794,0.396382991901031,0.391784941938155,0.418993502999218,0.370391796135698,0.377067758879926,0.384748614114453,0.379969603647514,0.375948648113326,0.375948648113326,0.377964473009227,0.373921956000622,0.373921956000622,0.40106447508885,0.3985386596167,0.381964208447538,0.387886487328022,0.387869150456834,0.392031280116988,0.376386326354541,0.380501175794694,0.405134222945709,0.360203880383094,0.399467730968481,0.381964208447538,0.375948648113326,0.387886487328022,0.376505708504147,0.379969603647514,0.377123616632825
